# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.create.module.instance.ms,1777377181747000000,1777377241681000000,0
jps.library.entities.serializer.load.entities.ms,1777377181747000000,1777377241681000000,0
jps.load.initial.state.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1777377181747000000,1777377241681000000,0
jps.load.project.to.empty.storage.ms,1777377181747000000,1777377241681000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1777377181747000000,1777377241681000000,0
jps.library.entities.serializer.save.entities.ms,1777377181747000000,1777377241681000000,0
jps.artifact.entities.serializer.save.entities.ms,1777377181747000000,1777377241681000000,0
jps.facet.change.listener.init.bridge.ms,1777377181747000000,1777377241681000000,0
